base,thr_050,thr_051,thr_052,thr_053,thr_054,thr_055,thr_056,thr_057,thr_058,thr_059,thr_060,thr_061,thr_062,thr_063,thr_064,thr_065,thr_066,thr_067,thr_068,thr_069,thr_070,thr_071,thr_072,thr_073,thr_074,thr_075,thr_076,thr_077,thr_078,thr_079,thr_080,thr_081,thr_082,thr_083,thr_084,thr_085,thr_086,thr_087,thr_088,thr_089,thr_090,thr_091,thr_092,thr_093,thr_094,thr_095,epsilon
0.5002,0.4755,0.4862,0.4975,0.4993,0.502,0.5022,0.5022,0.502,0.5021,0.5027,0.5018,0.5017,0.5016,0.5013,0.5011,0.5007,0.5007,0.5006,0.5005,0.5004,0.5004,0.5003,0.5003,0.5003,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.0
0.6205,0.9501,0.951,0.9513,0.9499,0.9474,0.9435,0.9371,0.9284,0.9155,0.8962,0.8666,0.8244,0.7591,0.6979,0.666,0.6496,0.64,0.6328,0.6284,0.6252,0.6238,0.6229,0.6224,0.6217,0.6213,0.6209,0.6207,0.6206,0.6206,0.6206,0.6205,0.6205,0.6205,0.6205,0.6205,0.6205,0.6205,0.6205,0.6205,0.6205,0.6205,0.6205,0.6205,0.6205,0.6205,0.6205,0.5
0.7287,0.9657,0.9663,0.967,0.9677,0.9679,0.9681,0.9685,0.9685,0.9685,0.9688,0.9684,0.9682,0.9682,0.9674,0.9663,0.9644,0.9618,0.9575,0.9514,0.9414,0.9241,0.8936,0.8432,0.7933,0.7655,0.7514,0.7428,0.738,0.7344,0.7325,0.7311,0.7302,0.7297,0.7291,0.729,0.7288,0.7287,0.7287,0.7287,0.7287,0.7287,0.7287,0.7287,0.7287,0.7287,0.7287,1.0
0.8193,0.971,0.9717,0.9723,0.9729,0.9731,0.9738,0.9741,0.9747,0.9753,0.9754,0.9757,0.976,0.9761,0.9763,0.9764,0.9766,0.9766,0.9765,0.9764,0.9761,0.9758,0.9753,0.9744,0.9725,0.971,0.9685,0.9649,0.9608,0.9542,0.9451,0.9317,0.9129,0.8827,0.8515,0.8336,0.8261,0.8223,0.8207,0.8198,0.8195,0.8193,0.8193,0.8193,0.8193,0.8193,0.8193,1.5
0.8835,0.9722,0.9724,0.973,0.9734,0.974,0.9746,0.9749,0.9753,0.9758,0.9762,0.9765,0.977,0.9776,0.9778,0.9782,0.9783,0.9788,0.9791,0.9793,0.9798,0.98,0.9801,0.9801,0.9805,0.9803,0.9804,0.9803,0.9802,0.9804,0.9802,0.98,0.9789,0.9771,0.9747,0.972,0.9681,0.9599,0.9483,0.9311,0.908,0.8915,0.8858,0.8842,0.8837,0.8835,0.8835,2.0
0.9222,0.9722,0.9725,0.9729,0.9733,0.9737,0.9743,0.9744,0.975,0.9757,0.976,0.9763,0.9766,0.977,0.9775,0.978,0.9784,0.9788,0.9792,0.9795,0.9797,0.98,0.9807,0.981,0.9815,0.9819,0.9822,0.9824,0.9828,0.9833,0.9836,0.9841,0.9843,0.9847,0.9844,0.9848,0.9844,0.9841,0.9837,0.9821,0.9795,0.9747,0.9654,0.9442,0.9281,0.9241,0.9225,2.5
0.9517,0.9726,0.9728,0.9732,0.9738,0.9742,0.9747,0.9751,0.9756,0.9761,0.9765,0.9771,0.9774,0.9779,0.9784,0.9789,0.9792,0.9795,0.98,0.9805,0.9809,0.9814,0.9817,0.982,0.9825,0.9826,0.983,0.9835,0.984,0.9846,0.985,0.9853,0.9854,0.986,0.9866,0.9869,0.9876,0.9877,0.9881,0.9882,0.9878,0.9874,0.9867,0.9856,0.9835,0.9773,0.9681,3.0
0.9714,0.974,0.9746,0.9749,0.9751,0.9755,0.9759,0.9762,0.9767,0.977,0.9774,0.9778,0.9781,0.9786,0.9792,0.9798,0.9803,0.9809,0.9812,0.9816,0.9818,0.9821,0.9827,0.9829,0.9831,0.9836,0.984,0.9844,0.985,0.9853,0.9859,0.9865,0.9874,0.9879,0.9883,0.9887,0.9893,0.9894,0.9897,0.9902,0.9903,0.9907,0.991,0.9911,0.9909,0.9903,0.9897,3.5
0.9812,0.9746,0.9751,0.9757,0.9765,0.9769,0.9772,0.9776,0.9778,0.9784,0.9787,0.979,0.9792,0.9796,0.9799,0.9803,0.9807,0.981,0.9813,0.9816,0.982,0.9825,0.9831,0.9833,0.9837,0.9839,0.9846,0.985,0.9855,0.9861,0.9866,0.9868,0.9873,0.9876,0.9881,0.9889,0.9894,0.99,0.9903,0.9908,0.991,0.9916,0.9919,0.9927,0.993,0.9932,0.9934,4.0
0.9896,0.9745,0.9749,0.9753,0.9759,0.9765,0.9767,0.9771,0.9775,0.9779,0.9783,0.9789,0.9792,0.9794,0.9799,0.9803,0.9807,0.9812,0.9814,0.9819,0.9825,0.9828,0.9833,0.9836,0.984,0.9846,0.9847,0.9854,0.9857,0.9861,0.9865,0.9868,0.9872,0.9877,0.9881,0.9886,0.989,0.9893,0.9899,0.9905,0.9912,0.9918,0.9926,0.9934,0.994,0.9943,0.9951,4.5
