base,thr_050,thr_051,thr_052,thr_053,thr_054,thr_055,thr_056,thr_057,thr_058,thr_059,thr_060,thr_061,thr_062,thr_063,thr_064,thr_065,thr_066,thr_067,thr_068,thr_069,thr_070,thr_071,thr_072,thr_073,thr_074,thr_075,thr_076,thr_077,thr_078,thr_079,thr_080,thr_081,thr_082,thr_083,thr_084,thr_085,thr_086,thr_087,thr_088,thr_089,thr_090,thr_091,thr_092,thr_093,thr_094,thr_095,epsilon
0.5002,0.5007,0.5078,0.5022,0.499,0.4964,0.4981,0.4968,0.4963,0.4974,0.4979,0.4982,0.4987,0.4992,0.4991,0.4992,0.4994,0.4995,0.4997,0.4997,0.4998,0.4999,0.4999,0.5,0.5,0.5001,0.5001,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.0
0.6205,0.9584,0.9581,0.958,0.9565,0.9544,0.9517,0.9483,0.9429,0.934,0.9192,0.8937,0.8494,0.7843,0.7216,0.6797,0.6549,0.6425,0.6349,0.6301,0.627,0.6251,0.6237,0.6227,0.6219,0.6214,0.621,0.6209,0.6208,0.6207,0.6206,0.6206,0.6206,0.6206,0.6205,0.6205,0.6205,0.6205,0.6205,0.6205,0.6205,0.6205,0.6205,0.6205,0.6205,0.6205,0.6205,0.5
0.7287,0.9702,0.9707,0.9712,0.9716,0.9721,0.9722,0.9727,0.9723,0.9722,0.9723,0.9723,0.9724,0.9718,0.9706,0.9694,0.9677,0.9652,0.9617,0.9573,0.9504,0.9409,0.9239,0.8937,0.8261,0.7756,0.7528,0.7409,0.7347,0.7317,0.7305,0.7296,0.7292,0.7289,0.7288,0.7287,0.7287,0.7287,0.7287,0.7287,0.7287,0.7287,0.7287,0.7287,0.7287,0.7287,0.7287,1.0
0.8193,0.9721,0.9727,0.9731,0.9737,0.9744,0.9748,0.9754,0.9758,0.9762,0.9768,0.9771,0.9776,0.9778,0.9778,0.9781,0.9782,0.9786,0.9783,0.9785,0.9784,0.9785,0.9778,0.9768,0.976,0.9746,0.9728,0.9709,0.9669,0.9602,0.9522,0.9365,0.9114,0.8787,0.8554,0.8382,0.8297,0.8239,0.8211,0.8197,0.8194,0.8193,0.8193,0.8193,0.8193,0.8193,0.8193,1.5
0.8835,0.9739,0.9744,0.9748,0.9751,0.9757,0.9762,0.9765,0.9768,0.977,0.9775,0.978,0.9782,0.9783,0.9786,0.9788,0.9794,0.9797,0.98,0.9803,0.9807,0.981,0.9815,0.9819,0.9821,0.9823,0.9823,0.9825,0.9823,0.9823,0.9822,0.982,0.9819,0.9811,0.9801,0.9784,0.975,0.9697,0.9602,0.9353,0.9,0.8885,0.8858,0.8846,0.8839,0.8836,0.8836,2.0
0.9222,0.9736,0.9744,0.9747,0.9755,0.9759,0.9763,0.9765,0.9771,0.9776,0.9778,0.9784,0.9789,0.9793,0.9795,0.9798,0.9801,0.9803,0.9805,0.9807,0.981,0.9814,0.9817,0.9824,0.9827,0.9834,0.9837,0.9839,0.984,0.9842,0.9843,0.9841,0.9844,0.9846,0.985,0.9853,0.9852,0.9853,0.9847,0.9833,0.9817,0.9773,0.9694,0.9544,0.9348,0.9251,0.9229,2.5
0.9517,0.9735,0.9738,0.9741,0.9747,0.9754,0.976,0.9766,0.9772,0.9778,0.9783,0.9788,0.9792,0.9797,0.9801,0.9804,0.9806,0.9808,0.9812,0.9816,0.9819,0.9821,0.9824,0.9826,0.9828,0.9832,0.9835,0.9842,0.9846,0.9851,0.9854,0.9858,0.9863,0.9865,0.9869,0.987,0.9871,0.9876,0.988,0.9884,0.9882,0.9887,0.9885,0.9888,0.9872,0.9834,0.9721,3.0
0.9714,0.974,0.9744,0.975,0.9754,0.9757,0.9761,0.9768,0.9772,0.9779,0.9784,0.9788,0.9791,0.9796,0.9801,0.9807,0.9809,0.9814,0.9818,0.9822,0.9825,0.9825,0.9832,0.9834,0.9836,0.984,0.9843,0.9845,0.9849,0.9854,0.9858,0.986,0.9864,0.9868,0.9872,0.9876,0.9884,0.989,0.9895,0.9902,0.9908,0.9915,0.9919,0.9922,0.9926,0.9927,0.9917,3.5
0.9812,0.9739,0.9742,0.9747,0.9749,0.9755,0.9762,0.9766,0.9771,0.9777,0.9781,0.9787,0.9791,0.9795,0.98,0.9805,0.981,0.9813,0.9816,0.9819,0.9824,0.9827,0.9831,0.9836,0.984,0.9843,0.9847,0.985,0.9853,0.9857,0.986,0.9864,0.9868,0.9873,0.9877,0.9882,0.9888,0.9895,0.9902,0.991,0.9913,0.9921,0.9926,0.9932,0.9935,0.9942,0.9941,4.0
0.9896,0.9737,0.9743,0.9751,0.9755,0.9761,0.9765,0.9769,0.9772,0.9776,0.978,0.9782,0.9788,0.9792,0.9795,0.9799,0.9803,0.9809,0.9814,0.9817,0.9821,0.9826,0.983,0.9834,0.9837,0.9841,0.9846,0.985,0.9855,0.9859,0.9862,0.9867,0.987,0.9874,0.9878,0.9884,0.9888,0.9895,0.99,0.9905,0.9913,0.9921,0.9927,0.9936,0.9942,0.9949,0.9955,4.5
0.993,0.974,0.9748,0.9753,0.9759,0.9763,0.9769,0.9773,0.9776,0.978,0.9786,0.9791,0.9795,0.9799,0.9804,0.9808,0.9811,0.9815,0.9818,0.9822,0.9824,0.9826,0.9828,0.9833,0.9837,0.9842,0.9846,0.9853,0.9856,0.9861,0.9864,0.9868,0.9873,0.9878,0.9882,0.9889,0.9893,0.9897,0.9905,0.9912,0.992,0.9929,0.9937,0.994,0.9946,0.9952,0.9956,5.0
0.996,0.9746,0.9752,0.9756,0.9761,0.9766,0.9772,0.9774,0.9778,0.9783,0.9786,0.9791,0.9794,0.9798,0.9804,0.9809,0.9814,0.9818,0.9821,0.9825,0.9826,0.9831,0.9836,0.984,0.9844,0.9848,0.9851,0.9854,0.9859,0.9863,0.9866,0.987,0.9875,0.9879,0.9884,0.9889,0.9894,0.9899,0.9907,0.9914,0.992,0.9928,0.9933,0.9944,0.9952,0.9956,0.9962,5.5
0.9978,0.9744,0.9751,0.9756,0.9762,0.9765,0.977,0.9774,0.978,0.9785,0.9788,0.9793,0.9799,0.9802,0.9808,0.9812,0.9815,0.982,0.9822,0.9826,0.9829,0.9832,0.9836,0.984,0.9842,0.9846,0.985,0.9853,0.9858,0.9861,0.9863,0.9866,0.9872,0.9878,0.9881,0.9888,0.9894,0.9897,0.9902,0.9909,0.9916,0.9926,0.9936,0.994,0.995,0.996,0.9966,6.0
0.9982,0.9743,0.9747,0.9751,0.9758,0.9763,0.9768,0.9773,0.9777,0.9782,0.9786,0.9792,0.9796,0.9799,0.9804,0.9809,0.9813,0.9816,0.982,0.9823,0.9828,0.9832,0.9837,0.9839,0.9844,0.9848,0.9852,0.9857,0.986,0.9864,0.9867,0.9871,0.9876,0.9881,0.9885,0.989,0.9895,0.9901,0.9908,0.9916,0.9922,0.9928,0.9938,0.9944,0.9953,0.996,0.9965,6.5
0.999,0.9747,0.9753,0.9758,0.9764,0.9768,0.9772,0.9775,0.9779,0.9787,0.979,0.9794,0.98,0.9805,0.9809,0.9811,0.9814,0.9819,0.9822,0.9824,0.9828,0.9833,0.9837,0.984,0.9843,0.9846,0.985,0.9855,0.9858,0.9861,0.9866,0.9868,0.9874,0.9878,0.9883,0.9888,0.9892,0.9899,0.9905,0.991,0.9918,0.9925,0.9936,0.9943,0.9952,0.996,0.9964,7.0
