base,thr_050,thr_051,thr_052,thr_053,thr_054,thr_055,thr_056,thr_057,thr_058,thr_059,thr_060,thr_061,thr_062,thr_063,thr_064,thr_065,thr_066,thr_067,thr_068,thr_069,thr_070,thr_071,thr_072,thr_073,thr_074,thr_075,thr_076,thr_077,thr_078,thr_079,thr_080,thr_081,thr_082,thr_083,thr_084,thr_085,thr_086,thr_087,thr_088,thr_089,thr_090,thr_091,thr_092,thr_093,thr_094,thr_095,epsilon
0.5002,0.5175,0.5142,0.5093,0.5069,0.5049,0.5032,0.5025,0.5007,0.5,0.4996,0.4999,0.4994,0.4999,0.5003,0.5004,0.5003,0.5003,0.5003,0.5001,0.5,0.5001,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.0
0.6205,0.9448,0.9469,0.9466,0.9458,0.9438,0.9414,0.9363,0.9284,0.9182,0.903,0.8756,0.8349,0.7665,0.7108,0.6743,0.6547,0.6428,0.6352,0.6304,0.6274,0.6256,0.624,0.6228,0.6222,0.6217,0.6214,0.621,0.6208,0.6206,0.6206,0.6205,0.6205,0.6205,0.6205,0.6205,0.6205,0.6205,0.6205,0.6205,0.6205,0.6205,0.6205,0.6205,0.6205,0.6205,0.6205,0.5
0.7287,0.9608,0.9616,0.9622,0.9628,0.9634,0.9638,0.9643,0.9642,0.9642,0.9641,0.9639,0.964,0.9631,0.9625,0.9611,0.9592,0.9551,0.9488,0.9419,0.9301,0.9127,0.8874,0.8489,0.8046,0.7708,0.7522,0.742,0.7362,0.7324,0.731,0.7299,0.7293,0.729,0.7288,0.7288,0.7287,0.7287,0.7287,0.7287,0.7287,0.7287,0.7287,0.7287,0.7287,0.7287,0.7287,1.0
0.8193,0.9639,0.9644,0.9649,0.965,0.9654,0.9656,0.966,0.9666,0.9674,0.968,0.9684,0.9687,0.9689,0.9694,0.9699,0.9701,0.9705,0.971,0.9715,0.9715,0.9715,0.9713,0.9712,0.9704,0.9692,0.9675,0.9647,0.96,0.9531,0.941,0.9197,0.8883,0.8544,0.8386,0.8309,0.8259,0.8232,0.8214,0.8204,0.8199,0.8197,0.8195,0.8193,0.8193,0.8193,0.8193,1.5
0.8835,0.9654,0.9662,0.9669,0.9676,0.968,0.9687,0.9694,0.9699,0.9703,0.9709,0.9716,0.9721,0.9725,0.9728,0.9734,0.9739,0.9744,0.9747,0.9751,0.9757,0.9762,0.9768,0.9771,0.9778,0.9781,0.9787,0.979,0.9789,0.9791,0.9791,0.9783,0.9771,0.9758,0.9742,0.9699,0.9637,0.9555,0.9408,0.9151,0.896,0.8884,0.8855,0.8842,0.8837,0.8836,0.8835,2.0
0.9222,0.9654,0.9658,0.9662,0.9666,0.9673,0.968,0.9684,0.9686,0.9691,0.9694,0.9699,0.9703,0.9707,0.9715,0.9721,0.9725,0.9729,0.9733,0.9738,0.9746,0.975,0.9755,0.9759,0.9766,0.9771,0.9778,0.9787,0.979,0.9796,0.9801,0.9806,0.9809,0.9812,0.9812,0.9818,0.9816,0.981,0.9798,0.9777,0.9746,0.9688,0.9587,0.9433,0.9293,0.9242,0.9228,2.5
0.9517,0.9673,0.9679,0.9685,0.9689,0.9694,0.9699,0.9706,0.971,0.9714,0.9718,0.9721,0.9724,0.9731,0.9737,0.9742,0.9748,0.9755,0.9762,0.9769,0.9772,0.9777,0.9783,0.9787,0.9792,0.9796,0.9801,0.9809,0.9814,0.9819,0.9824,0.9831,0.984,0.9844,0.9849,0.9857,0.9863,0.9867,0.9868,0.9867,0.9864,0.986,0.9854,0.9837,0.9803,0.974,0.9622,3.0
0.9714,0.968,0.9685,0.9689,0.9697,0.97,0.9706,0.9711,0.9715,0.9719,0.9724,0.973,0.9734,0.974,0.9746,0.9751,0.9757,0.976,0.9761,0.9767,0.9771,0.9778,0.9784,0.9787,0.9792,0.9796,0.9802,0.9812,0.9816,0.982,0.9825,0.9832,0.9837,0.9842,0.9847,0.9854,0.9861,0.9867,0.9874,0.9875,0.988,0.9887,0.9894,0.9893,0.99,0.9894,0.9884,3.5
0.9812,0.969,0.9696,0.9701,0.9707,0.971,0.9713,0.9717,0.9722,0.9726,0.9731,0.9736,0.9741,0.9744,0.9749,0.9755,0.976,0.9763,0.9767,0.9771,0.9776,0.9783,0.9788,0.9792,0.9799,0.9802,0.9808,0.9814,0.9821,0.9825,0.9833,0.984,0.9844,0.9847,0.9852,0.9859,0.9865,0.9872,0.9881,0.9888,0.9895,0.9901,0.9909,0.9913,0.9918,0.9925,0.9929,4.0
0.9896,0.9687,0.9692,0.9696,0.9701,0.9707,0.9713,0.9719,0.9725,0.9729,0.9733,0.9738,0.9743,0.9747,0.9751,0.9754,0.9756,0.9761,0.9765,0.9771,0.9777,0.9781,0.9786,0.9793,0.9798,0.9804,0.981,0.9818,0.9822,0.9827,0.9832,0.9836,0.9842,0.9848,0.9854,0.9859,0.9865,0.9869,0.9879,0.9888,0.9896,0.9903,0.991,0.9917,0.9924,0.9932,0.9939,4.5
