base,thr_050,thr_051,thr_052,thr_053,thr_054,thr_055,thr_056,thr_057,thr_058,thr_059,thr_060,thr_061,thr_062,thr_063,thr_064,thr_065,thr_066,thr_067,thr_068,thr_069,thr_070,thr_071,thr_072,thr_073,thr_074,thr_075,thr_076,thr_077,thr_078,thr_079,thr_080,thr_081,thr_082,thr_083,thr_084,thr_085,thr_086,thr_087,thr_088,thr_089,thr_090,thr_091,thr_092,thr_093,thr_094,thr_095,epsilon
0.5002,0.4525,0.4619,0.4786,0.4902,0.4983,0.5025,0.5034,0.5044,0.504,0.5037,0.5027,0.5022,0.5014,0.5012,0.5009,0.5008,0.5009,0.5006,0.5006,0.5005,0.5003,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.5002,0.0
0.6205,0.9528,0.9536,0.953,0.9515,0.9495,0.9453,0.9398,0.9304,0.9177,0.8978,0.8717,0.8339,0.7877,0.714,0.6743,0.652,0.6382,0.6314,0.6275,0.6247,0.6229,0.6219,0.6216,0.6212,0.6211,0.6209,0.6208,0.6207,0.6207,0.6207,0.6207,0.6206,0.6206,0.6206,0.6206,0.6206,0.6206,0.6206,0.6206,0.6205,0.6205,0.6205,0.6205,0.6205,0.6205,0.6205,0.5
0.7287,0.9658,0.9663,0.9667,0.9668,0.9671,0.9671,0.9674,0.9676,0.9678,0.9681,0.9679,0.9672,0.9666,0.9653,0.9638,0.9618,0.9599,0.9561,0.9498,0.9399,0.9258,0.9017,0.8626,0.8042,0.7716,0.7536,0.7432,0.7372,0.7334,0.7314,0.7302,0.7296,0.7292,0.729,0.729,0.7288,0.7288,0.7287,0.7287,0.7287,0.7287,0.7287,0.7287,0.7287,0.7287,0.7287,1.0
0.8193,0.968,0.9688,0.9692,0.9693,0.9695,0.9697,0.9703,0.9708,0.9711,0.9715,0.972,0.9721,0.9725,0.9729,0.973,0.9732,0.9736,0.9736,0.9736,0.9733,0.9735,0.973,0.9723,0.9709,0.9693,0.9664,0.9628,0.9581,0.9507,0.9405,0.924,0.8994,0.8689,0.8445,0.832,0.8256,0.8223,0.8208,0.8201,0.8196,0.8194,0.8194,0.8193,0.8193,0.8193,0.8193,1.5
0.8835,0.9697,0.97,0.9703,0.9707,0.971,0.9718,0.9719,0.9723,0.9726,0.9727,0.9731,0.9735,0.9739,0.9742,0.9746,0.9749,0.9755,0.976,0.9764,0.9768,0.9773,0.9774,0.9775,0.9776,0.9776,0.9778,0.9778,0.9778,0.9775,0.9773,0.9765,0.9756,0.9752,0.9732,0.9701,0.9657,0.957,0.9418,0.9185,0.8973,0.8891,0.8854,0.8839,0.8836,0.8835,0.8835,2.0
0.9222,0.9709,0.9713,0.9716,0.9719,0.9723,0.9725,0.9729,0.9732,0.9736,0.9739,0.9742,0.9745,0.9748,0.975,0.9752,0.9754,0.9759,0.976,0.9765,0.9768,0.977,0.9774,0.9781,0.9784,0.9791,0.9795,0.9798,0.98,0.9803,0.9808,0.9814,0.9815,0.9821,0.982,0.982,0.9821,0.9817,0.981,0.9791,0.9761,0.9707,0.9618,0.9445,0.9292,0.9238,0.9226,2.5
0.9517,0.9711,0.9716,0.9718,0.9726,0.973,0.9733,0.9738,0.9742,0.9746,0.975,0.9752,0.9756,0.9761,0.9766,0.9771,0.9776,0.9778,0.978,0.9784,0.9787,0.979,0.9797,0.98,0.9804,0.9808,0.9814,0.9819,0.9823,0.9825,0.9832,0.9835,0.9839,0.9843,0.9847,0.9852,0.9858,0.9863,0.9863,0.9863,0.9864,0.9863,0.9857,0.9842,0.981,0.9749,0.9643,3.0
0.9714,0.9723,0.9726,0.9733,0.9736,0.974,0.9743,0.9747,0.975,0.9753,0.9755,0.9759,0.9761,0.9767,0.977,0.9772,0.9776,0.9781,0.9783,0.9785,0.9788,0.9791,0.9797,0.9801,0.9807,0.9809,0.9813,0.9814,0.9818,0.9823,0.9829,0.9838,0.9841,0.9844,0.9851,0.9858,0.9861,0.9868,0.9871,0.9875,0.9878,0.9884,0.9889,0.989,0.9889,0.9883,0.9878,3.5
0.9812,0.9729,0.9732,0.9735,0.9737,0.9742,0.9745,0.9749,0.975,0.9753,0.9756,0.9759,0.976,0.9763,0.9768,0.9773,0.9776,0.9781,0.9784,0.9788,0.9791,0.9795,0.9797,0.9799,0.9801,0.9805,0.9811,0.9813,0.9818,0.9821,0.9825,0.9828,0.9833,0.9838,0.9844,0.9849,0.9853,0.9858,0.9866,0.9872,0.9879,0.9883,0.989,0.9897,0.9905,0.9913,0.9914,4.0
0.9896,0.9721,0.9726,0.9729,0.9734,0.9738,0.974,0.9746,0.9749,0.9753,0.9757,0.9759,0.976,0.9763,0.9766,0.9771,0.9775,0.9778,0.9784,0.9789,0.979,0.9795,0.9799,0.9801,0.9805,0.9808,0.9812,0.9814,0.9819,0.9823,0.9826,0.9831,0.9836,0.9841,0.9847,0.9854,0.9857,0.9862,0.987,0.9873,0.9879,0.9886,0.9897,0.9905,0.9913,0.992,0.9931,4.5
